country_iso3,region,year,value_range,numeric_value,low,high,disaggregation,data_source
BTN,South-East Asia,2010,No data,,,,DHSMICSGEOREGION_BTNMICS201010,MICS
HND,Americas,2011,67.8 [58.2-76.1],67.76341,58.16495,76.06581,AGEGROUP_YEARS15-19,DHS
JAM,Americas,2005,No data,,,,WEALTHDECILE_WEALTHDECILE01,MICS
EGY,Eastern Mediterranean,2008,70.8 [63.6-77.0],70.77365,63.61804,77.03003,EDUCATIONLEVEL_NHLM,DHS
NGA,Africa,2007,No data,,,,DHSMICSGEOREGION_NGAMICS200707,MICS
NGA,Africa,2013,35.3 [21.8-51.8],35.34334,21.77279,51.77411,WEALTHDECILE_WEALTHDECILE07,DHS
CMR,Africa,2011,13.8 [7.0-25.4],13.75674,6.95525,25.3941,WEALTHDECILE_WEALTHDECILE02,DHS
ZAF,Africa,1998,No data,,,,DHSMICSGEOREGION_ZAFDHS199807,DHS
TLS,South-East Asia,2016,71.8 [55.5-83.8],71.75657,55.45919,83.82949,EDUCATIONLEVEL_SHLM,DHS
COG,Africa,2011,No data,,,,WEALTHDECILE_WEALTHDECILE05,DHS
SEN,Africa,2016,49.7 [32.2-67.2],49.70841,32.2461,67.24215,RESIDENCEAREATYPE_URB,DHS
MDA,Europe,1997,No data,,,,EDUCATIONLEVEL_PRLM,RHS
PER,Americas,2014,No data,,,,WEALTHDECILE_WEALTHDECILE10,DHS
NIC,Americas,1997,No data,,,,DHSMICSGEOREGION_NICDHS199702,DHS
NIC,Americas,1997,No data,,,,WEALTHDECILE_WEALTHDECILE09,DHS
MDG,Africa,1997,No data,,,,DHSMICSGEOREGION_MDGDHS199703,DHS
BGD,South-East Asia,2017,56.2 [41.0-70.3],56.20276,40.99554,70.32745,DHSMICSGEOREGION_BGDDHS201701,DHS
MOZ,Africa,1997,No data,,,,EDUCATIONLEVEL_PRLM,DHS
MDG,Africa,2018,39.2 [33.3-45.4],39.17107,33.30134,45.37163,SEX_MLE,MICS
GIN,Africa,2018,58.0 [30.8-81.1],58.02246,30.84271,81.07474,DHSMICSGEOREGION_GINDHS201807,DHS
SSD,Africa,2010,52.6 [46.7-58.3],52.57232,46.74892,58.32657,WEALTHQUINTILE_WQ4,MICS
NIC,Americas,1997,No data,,,,WEALTHDECILE_WEALTHDECILE05,DHS
NGA,Africa,1999,No data,,,,DHSMICSGEOREGION_NGADHS199905,DHS
GHA,Africa,2003,No data,,,,DHSMICSGEOREGION_GHADHS200307,DHS
PER,Americas,2013,65.7 [47.2-80.5],65.74586,47.17307,80.48956,WEALTHDECILE_WEALTHDECILE07,DHS
EGY,Eastern Mediterranean,2008,70.8 [62.2-78.1],70.76048,62.20924,78.05921,WEALTHQUINTILE_WQ2,DHS
PHL,Western Pacific,2003,No data,,,,DHSMICSGEOREGION_PHLDHS200306,DHS
CIV,Africa,1994,No data,,,,DHSMICSGEOREGION_CIVDHS199404,DHS
DZA,Africa,2012,73.1 [63.0-81.3],73.14743,62.97998,81.34937,WEALTHQUINTILE_WQ4,MICS
BOL,Americas,2008,No data,,,,SEX_FMLE,DHS
TZA,Africa,2015,No data,,,,DHSMICSGEOREGION_TZADHS201523,DHS
PER,Americas,2017,69.7 [56.8-80.1],69.67029,56.77766,80.06731,WEALTHDECILE_WEALTHDECILE06,DHS
NER,Africa,2012,72.5 [57.5-83.7],72.47392,57.46178,83.69174,EDUCATIONLEVEL_PRLM,DHS
ETH,Africa,2016,26.1 [20.1-33.1],26.09777,20.10206,33.14003,EDUCATIONLEVEL_NHLM,DHS
NGA,Africa,2007,23.0 [8.9-47.5],22.9554,8.91979,47.54712,WEALTHDECILE_WEALTHDECILE01,MICS
TKM,Europe,2019,No data,,,,WEALTHQUINTILE_WQ2,MICS
PER,Americas,2012,66.9 [61.0-72.3],66.87866,60.96249,72.30555,AGEGROUP_YEARS20-49,DHS
SLE,Africa,2013,64.8 [47.1-79.2],64.77527,47.05321,79.18906,WEALTHDECILE_WEALTHDECILE03,DHS
PRY,Americas,2016,97.2 [89.2-99.3],97.23136,89.17562,99.33646,WEALTHDECILE_WEALTHDECILE05,MICS
SLV,Americas,1993,No data,,,,DHSMICSGEOREGION_SLVRHS199301,RHS
PER,Americas,2016,39.2 [22.7-58.5],39.16021,22.70046,58.51951,DHSMICSGEOREGION_PERDHS201612,DHS
NAM,Africa,2006,81.2 [70.7-88.6],81.20718,70.65508,88.57825,SEX_FMLE,DHS
NER,Africa,2012,49.5 [42.6-56.4],49.45334,42.55171,56.37588,EDUCATIONLEVEL_NHLM,DHS
MOZ,Africa,1997,No data,,,,RESIDENCEAREATYPE_URB,DHS
SUR,Americas,2010,No data,,,,DHSMICSGEOREGION_SURMICS201001,MICS
PER,Americas,2018,76.4 [65.2-84.8],76.35959,65.15319,84.80274,WEALTHDECILE_WEALTHDECILE05,DHS
SLV,Americas,2014,86.3 [80.4-90.6],86.26925,80.40613,90.5834,EDUCATIONLEVEL_SHLM,MICS
PER,Americas,2013,No data,,,,WEALTHDECILE_WEALTHDECILE08,DHS
BOL,Americas,1994,No data,,,,WEALTHDECILE_WEALTHDECILE10,DHS
HND,Americas,2005,81.7 [62.4-92.3],81.65689,62.40685,92.27058,WEALTHDECILE_WEALTHDECILE10,DHS
GUY,Americas,2014,No data,,,,DHSMICSGEOREGION_GUYMICS201407,MICS
